                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.2131,                 2.4414,                 2.6583,                0.10332,                0.12903,                0.08277,                0.03077,                 2.2285,                 3.6398,                  2.806,              0.0018772,              0.0018772,              0.0018772
                     64,                 2.2972,                 2.6443,                 2.6626,                0.11208,                0.37097,                0.10078,                0.04016,                 2.1679,                 4.1654,                 2.8312,              0.0018753,              0.0018753,              0.0018753
                     65,                 2.4805,                 2.6165,                 2.7296,                0.11208,                0.37097,                0.10078,                0.04016,                 2.1679,                 4.1654,                 2.8312,              0.0018733,              0.0018733,              0.0018733
                     66,                 2.3872,                 2.5341,                 2.7585,                0.20208,                0.32258,                 0.1438,                0.05801,                 2.0164,                 5.4021,                 2.8347,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.3896,                 2.6009,                 2.8558,                0.29713,                0.37097,                0.19647,                0.06753,                 2.0377,                 6.0389,                 2.8716,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.2689,                 2.4472,                  2.593,                0.23425,                0.35484,                0.18061,                0.06045,                 2.0146,                 5.3703,                 2.7324,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.3602,                 2.5714,                 2.6406,                0.23425,                0.35484,                0.18061,                0.06045,                 2.0146,                 5.3703,                 2.7324,              0.0018654,              0.0018654,              0.0018654
                     70,                 2.3548,                 2.5512,                   2.67,                0.21906,                0.33871,                0.17781,                0.08354,                 2.0867,                 4.5092,                 2.6839,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.2379,                  2.463,                 2.6838,                0.36521,                0.35484,                0.24289,                0.11363,                 2.0066,                 4.4536,                 2.4999,              0.0018614,              0.0018614,              0.0018614
                     72,                 2.3337,                 2.6732,                 2.6821,                 0.1318,                0.30645,                0.10799,                0.04847,                 2.0713,                 3.5019,                 2.4945,              0.0018594,              0.0018594,              0.0018594
                     73,                  2.321,                 2.5475,                 2.7319,                 0.1318,                0.30645,                0.10799,                0.04847,                 2.0713,                 3.5019,                 2.4945,              0.0018574,              0.0018574,              0.0018574
                     74,                 2.2481,                  2.481,                 2.7067,                0.16278,                 0.3871,                0.13936,                0.06254,                 2.2849,                 2.7962,                 2.6012,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.2573,                  2.545,                 2.7842,                0.21083,                0.31459,                0.17086,                0.09317,                 2.2714,                 2.5872,                 2.6057,              0.0018535,              0.0018535,              0.0018535
                     76,                  2.162,                 2.4586,                 2.6306,                 0.4458,                0.30645,                0.30824,                0.17775,                 2.0644,                  2.328,                 2.4614,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.3475,                 2.3853,                 2.6025,                 0.4458,                0.30645,                0.30824,                0.17775,                 2.0644,                  2.328,                 2.4614,              0.0018495,              0.0018495,              0.0018495
                     78,                 2.3966,                  2.606,                 2.6935,                0.42663,                0.32407,                0.29273,                0.14591,                 1.9871,                 2.6649,                 2.4497,              0.0018475,              0.0018475,              0.0018475
                     79,                 2.3609,                 2.5231,                    2.7,                0.32099,                0.41937,                0.25207,                0.13973,                 1.8687,                 2.5815,                 2.3074,              0.0018456,              0.0018456,              0.0018456
                     80,                 2.1223,                 2.4075,                 2.5039,                 0.2739,                 0.3871,                0.28982,                0.19082,                 1.8704,                 2.7064,                 2.2924,              0.0018436,              0.0018436,              0.0018436
                     81,                 2.3166,                 2.3291,                 2.5171,                 0.2739,                 0.3871,                0.28982,                0.19082,                 1.8704,                 2.7064,                 2.2924,              0.0018416,              0.0018416,              0.0018416
                     82,                 2.2715,                 2.3256,                  2.465,                0.25157,                0.33871,                 0.2451,                0.17184,                 1.8795,                 2.6836,                 2.3039,              0.0018396,              0.0018396,              0.0018396
                     83,                 2.2353,                 2.2922,                 2.5667,                 0.1789,                0.35484,                0.20963,                0.13673,                 1.8533,                 2.4487,                 2.2792,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.2007,                 2.1291,                  2.488,                0.65083,                0.12903,                0.19124,                0.12272,                 1.9666,                 2.4903,                 2.4586,              0.0018357,              0.0018357,              0.0018357
                     85,                 2.1736,                 2.3237,                 2.4309,                0.65083,                0.12903,                0.19124,                0.12272,                 1.9666,                 2.4903,                 2.4586,              0.0018337,              0.0018337,              0.0018337
                     86,                 2.0988,                 2.1479,                 2.3368,                0.30294,                0.24194,                0.19439,                0.09929,                 2.1884,                 2.6926,                 2.7508,              0.0018317,              0.0018317,              0.0018317
                     87,                 2.2083,                 2.3957,                 2.4973,                0.36274,                 0.3871,                0.27347,                0.13588,                 1.8654,                  2.134,                 2.5034,              0.0018297,              0.0018297,              0.0018297
                     88,                 2.1993,                 2.1208,                 2.4167,                0.49449,                0.30645,                 0.3699,                0.19844,                 1.8577,                 2.1724,                 2.3522,              0.0018277,              0.0018277,              0.0018277
                     89,                 2.2032,                 2.3366,                 2.6354,                0.49449,                0.30645,                 0.3699,                0.19844,                 1.8577,                 2.1724,                 2.3522,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.2592,                 2.4241,                  2.524,                0.44342,                0.29032,                0.32735,                 0.1836,                 1.9818,                 2.7932,                 2.4562,              0.0018238,              0.0018238,              0.0018238
                     91,                  2.167,                  2.305,                 2.5549,                0.33845,                0.48387,                0.37064,                0.21506,                 1.9534,                 2.4038,                 2.3711,              0.0018218,              0.0018218,              0.0018218
                     92,                 2.1594,                 2.2607,                  2.478,                0.71418,                0.19355,                 0.2941,                0.16949,                 1.8412,                 2.2065,                 2.3695,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.2032,                 2.1502,                  2.387,                0.71418,                0.19355,                 0.2941,                0.16949,                 1.8412,                 2.2065,                 2.3695,              0.0018178,              0.0018178,              0.0018178
                     94,                 2.1774,                 2.2153,                 2.5177,                0.29567,                0.30645,                0.27074,                0.15808,                 1.8814,                 2.3092,                 2.5147,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.0456,                 2.2352,                 2.3277,                0.42219,                0.35484,                0.34529,                 0.1671,                 2.0381,                  2.365,                 2.6731,              0.0018139,              0.0018139,              0.0018139
                     96,                 2.1083,                 2.1201,                 2.3377,                0.27097,                0.33871,                0.24941,                0.09774,                 2.1881,                  2.546,                 2.7492,              0.0018119,              0.0018119,              0.0018119
                     97,                 2.2087,                 2.1411,                 2.3921,                0.27097,                0.33871,                0.24941,                0.09774,                 2.1881,                  2.546,                 2.7492,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.9237,                 1.9712,                 2.1448,                0.29149,                0.20577,                0.19797,                0.07732,                 2.0872,                 2.5025,                 2.6623,              0.0018079,              0.0018079,              0.0018079
                     99,                 2.0547,                 1.9723,                 2.4295,                0.29386,                0.24194,                0.24098,                0.12817,                 1.8232,                 2.4836,                 2.5419,               0.001806,               0.001806,               0.001806
                    100,                 2.0198,                 2.0099,                 2.2572,                0.32934,                0.16129,                0.22557,                 0.1366,                  1.815,                 2.4651,                 2.5106,               0.001804,               0.001804,               0.001804
                    101,                 1.8775,                 1.9831,                 2.3391,                0.32934,                0.16129,                0.22557,                 0.1366,                  1.815,                 2.4651,                 2.5106,               0.001802,               0.001802,               0.001802
                    102,                 2.0843,                 1.9789,                 2.4179,                0.57171,                0.43067,                0.45883,                0.28299,                 1.8157,                 2.0823,                 2.3134,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.0351,                 2.1621,                 2.3658,                0.69061,                0.45161,                0.53079,                0.33028,                 1.7188,                 1.8827,                 2.2401,               0.001798,               0.001798,               0.001798
                    104,                 1.9885,                 2.0541,                 2.2469,                0.71674,                0.56452,                0.60084,                0.34401,                 1.7419,                 1.7682,                 2.1729,              0.0017961,              0.0017961,              0.0017961
                    105,                 1.9695,                 1.9985,                  2.467,                0.71674,                0.56452,                0.60084,                0.34401,                 1.7419,                 1.7682,                 2.1729,              0.0017941,              0.0017941,              0.0017941
                    106,                 1.8403,                 1.7969,                  2.242,                0.59852,                0.54839,                0.52171,                0.29604,                  1.857,                 1.6802,                 2.2026,              0.0017921,              0.0017921,              0.0017921
                    107,                 1.9535,                 1.8905,                 2.2815,                0.58251,                0.60768,                0.53144,                0.28705,                  1.811,                 1.5467,                 2.2427,              0.0017901,              0.0017901,              0.0017901
                    108,                 1.9792,                 1.8727,                 2.2484,                0.54933,                0.48387,                0.48842,                 0.2778,                 1.6535,                 1.5826,                 2.1372,              0.0017881,              0.0017881,              0.0017881
                    109,                  1.872,                 1.8022,                 2.1713,                0.54933,                0.48387,                0.48842,                 0.2778,                 1.6535,                 1.5826,                 2.1372,              0.0017862,              0.0017862,              0.0017862
                    110,                 1.7787,                 1.7692,                 2.1613,                0.36864,                0.40323,                 0.4435,                0.23704,                 1.5005,                 1.8552,                 2.1423,              0.0017842,              0.0017842,              0.0017842
                    111,                 1.9522,                 1.8663,                 2.1024,                0.89136,                0.27419,                0.47181,                0.24767,                 1.5783,                 1.6838,                 2.0292,              0.0017822,              0.0017822,              0.0017822
                    112,                 1.9737,                 1.8698,                 2.1745,                0.60994,                0.68102,                 0.6851,                0.35329,                 1.5779,                 1.5307,                 1.9523,              0.0017802,              0.0017802,              0.0017802
                    113,                 1.8891,                 1.8213,                 2.1353,                0.60994,                0.68102,                 0.6851,                0.35329,                 1.5779,                 1.5307,                 1.9523,              0.0017782,              0.0017782,              0.0017782
                    114,                 1.9119,                 1.7592,                 2.0873,                 0.8197,                0.62903,                0.72709,                0.39695,                 1.5629,                 1.4567,                 1.9521,              0.0017763,              0.0017763,              0.0017763
                    115,                  1.902,                 1.8776,                 2.2557,                0.79036,                0.62903,                0.69103,                 0.4059,                 1.4777,                 1.3832,                 1.9327,              0.0017743,              0.0017743,              0.0017743
                    116,                 1.8928,                 1.9289,                  2.236,                0.34054,                0.64516,                0.51353,                0.27927,                 1.5767,                 1.5875,                 1.9547,              0.0017723,              0.0017723,              0.0017723
                    117,                 1.8374,                 2.0341,                 2.1688,                0.34054,                0.64516,                0.51353,                0.27927,                 1.5767,                 1.5875,                 1.9547,              0.0017703,              0.0017703,              0.0017703
                    118,                 1.8362,                 1.7413,                 2.0825,                0.52359,                0.59677,                 0.6017,                0.32875,                  1.492,                 1.4882,                  1.895,              0.0017683,              0.0017683,              0.0017683
                    119,                 1.9005,                 1.7859,                 2.2503,                 0.7436,                0.56138,                0.67279,                0.36711,                 1.6498,                  1.422,                 2.0937,              0.0017664,              0.0017664,              0.0017664
                    120,                 1.9015,                 1.8104,                 2.3225,                0.72789,                0.62903,                0.70888,                0.39389,                 1.6757,                 1.3551,                 2.1545,              0.0017644,              0.0017644,              0.0017644
                    121,                 1.9163,                 1.8197,                 2.0151,                0.72789,                0.62903,                0.70888,                0.39389,                 1.6757,                 1.3551,                 2.1545,              0.0017624,              0.0017624,              0.0017624
                    122,                 1.7924,                 1.7893,                 2.1432,                 0.7838,                0.64325,                0.73098,                0.37503,                 1.6916,                 1.4578,                 2.1071,              0.0017604,              0.0017604,              0.0017604
                    123,                 1.7591,                 1.6266,                 2.1803,                0.76994,                0.64779,                0.70013,                0.37465,                 1.8496,                 1.7911,                 2.2471,              0.0017584,              0.0017584,              0.0017584
                    124,                 1.9255,                 1.6646,                 2.0306,                0.62097,                0.59677,                0.63748,                0.30978,                 1.8146,                  1.862,                 2.2241,              0.0017565,              0.0017565,              0.0017565
                    125,                  1.919,                 1.8372,                 2.2731,                0.62097,                0.59677,                0.63748,                0.30978,                 1.8146,                  1.862,                 2.2241,              0.0017545,              0.0017545,              0.0017545
                    126,                 1.7184,                  1.521,                 2.1225,                0.71976,                0.59677,                0.64142,                0.35813,                 1.5581,                 1.5022,                 1.9948,              0.0017525,              0.0017525,              0.0017525
                    127,                 1.6478,                 1.5707,                 2.0772,                0.81341,                0.59677,                0.69503,                 0.4167,                 1.4137,                 1.4282,                 1.8505,              0.0017505,              0.0017505,              0.0017505
                    128,                 1.7799,                  1.644,                 2.0351,                0.76253,                 0.6129,                0.70908,                0.46816,                 1.3393,                 1.5243,                 1.7806,              0.0017485,              0.0017485,              0.0017485
                    129,                 1.7492,                 1.6191,                 2.0713,                0.76253,                 0.6129,                0.70908,                0.46816,                 1.3393,                 1.5243,                 1.7806,              0.0017466,              0.0017466,              0.0017466
                    130,                 1.7682,                 1.5303,                 1.9428,                0.74768,                0.62141,                0.73564,                0.49292,                  1.349,                 1.5023,                 1.7716,              0.0017446,              0.0017446,              0.0017446
                    131,                 1.6868,                 1.5439,                 1.9978,                  0.845,                0.52767,                0.70548,                 0.4603,                 1.4192,                 2.2044,                 1.8194,              0.0017426,              0.0017426,              0.0017426
                    132,                 1.6749,                 1.4528,                 1.8765,                0.74935,                0.51613,                0.63232,                0.39239,                 1.5337,                  2.379,                 1.9491,              0.0017406,              0.0017406,              0.0017406
                    133,                 1.6983,                 1.5002,                 1.9852,                0.74935,                0.51613,                0.63232,                0.39239,                 1.5337,                  2.379,                 1.9491,              0.0017386,              0.0017386,              0.0017386
